rxcui,final_codes,fix_action,confidence,evidence
1089103,D04AB01|D06AX04|D06AX05,OTHER,MED,"Bacitracin/lidocaine/neomycin/polymyxin B topical cream; per-ingredient fallback (lidocaine topical, neomycin, bacitracin); polymyxin B has no WHO code; drop duplicate hemorrhoid-context lidocaine code"
1990751,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
2001756,G03AA09,KEEP_CURRENT,HIGH,Volnea (desogestrel+ethinylestradiol); G03AA09 already correct
801554,B05BA01,OTHER,MED,"Multi-amino-acid parenteral solution with electrolyte buffer, no carbohydrate; B05BA01 'amino acids' is the correct WHO parenteral-nutrition code, matching the Plenamine precedent"
877318,A11CC05|A12AA13,OTHER,MED,"Calcium citrate/cholecalciferol chewable tablet (Calcet); A12AX ('Calcium, combinations with vitamin D') is an empty WHO L4 branch; per-ingredient fallback: A12AA13 (calcium citrate) + A11CC05 (colecalciferol), matching production"
2000543,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
311320,D04AB01|N01BB04,OTHER,MED,"Lidocaine/prilocaine medicated patch (EMLA-type); D04AB01 (topical lidocaine) + N01BB04 (prilocaine, real code); no dedicated combo code found"
1087414,B03AE01,OTHER,HIGH,"Ascorbic acid/folic acid/iron/vitB12 tablet; matches WHO's dedicated B03AE01 'iron, vitamin B12 and folic acid'; current_final's bare L4 B03AE promoted to correct leaf"
1988809,R03CA02|R05CA03,OTHER,MED,"Ephedrine/guaifenesin oral solution (cough remedy); ephedrine's respiratory-context code R03CA02 applies, not cardiac/vasopressor C01CA26"
801584,B05BA10,OTHER,MED,Multi-amino-acid parenteral solution WITH added glucose; B05BA10 'combinations' fits better than plain amino-acids code since carbohydrate is co-formulated
686892,B05BB02,KEEP_CURRENT,HIGH,Glucose/NaCl injectable; B05BB02 already correct
656640,R01BA03|R05CA03,KEEP_CURRENT,HIGH,Guaifenesin/phenylephrine ER oral tablet; already correct per-ingredient set
748804,G03AA01,KEEP_CURRENT,HIGH,Ethynodiol+ethinylestradiol pack; G03AA01 already correct
753095,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
891719,,OTHER,MED,"Ocuvite-type vitamin+mineral (zinc/selenium) tablet, no iron; A11JB empty branch; genuine WHO gap"
308404,N02BA51,OTHER,MED,"Aspirin/caffeine capsule; N02BA51 dedicated combo code, drop A01AD05/B01AC06/N02BA01 monotherapy pollution"
207374,N02BA71,OTHER,MED,"Aspirin/butalbital tablet (Axotal); butalbital is a psycholeptic barbiturate -> N02BA71, not N02BA51"
995489,P02CF01,KEEP_CURRENT,HIGH,Ivermectin oral solution; systemic route already correct
310817,C03EA01,KEEP_CURRENT,HIGH,HCTZ/triamterene capsule; C03EA01 dedicated combo already correct
1990455,D04AB04,OTHER,MED,Benzocaine Topical Ointment (general skin); D04AB04 (topical anesthetic) fits generic topical use better than hemorrhoid-specific C05AD03
403924,B01AC06,OTHER,MED,Aspirin 81mg Delayed Release Capsule = classic low-dose antiplatelet aspirin; B01AC06 (antithrombotic use) is the correct context per WHO note that antiplatelet-dose aspirin is classified in B01AC; N02BA51 (combination) and A01AD05 (dental) don't apply to a single-ingredient EC low-dose tablet
756269,R01BA01|R01BA03|R06AB01,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1086838,A11HA03|C01EB09,USE_ATCPROD,HIGH,"Tocopherol/ubidecarenone capsule (Q-Gel); C01EX ('Other cardiac combination products') is an empty WHO L4 branch; production's per-ingredient set (A11HA03 tocopherol, C01EB09 ubidecarenone) is correct"
204793,D08AG02,OTHER,MED,Povidone-iodine topical ointment; D08AG02 (general topical antiseptic) preferred single code over dressing/shampoo-context duplicates
206852,C01DA08,OTHER,HIGH,"Isosorbide dinitrate oral tablet (Sorbitrate, different strength); same correction"
999685,R02AD01,KEEP_CURRENT,MED,"Benzocaine/butamben/tetracaine mucosal spray (Exactacain, dental); R02AD01 already correct for oral-mucosal use; butamben/tetracaine have no clean applicable codes in this context"
835559,H02AB08,OTHER,HIGH,Triamcinolone acetonide injectable (Trivaris); H02AB08 (systemic glucocorticoid) fits injectable route; dental/hemorrhoid/inhaled codes wrong
729945,R01BA02|R06AC01,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
748998,G03AA05,OTHER,HIGH,Ovcon 35 (norethindrone+ethinylestradiol); G03AA05 dedicated code
204797,A02AF02,OTHER,MED,Aluminum/calcium/magnesium/simethicone chewable tablet; A02AF02 is the closest dedicated WHO bucket for multi-salt antacid+antiflatulent combos
753485,G03AA07,OTHER,HIGH,Levlite OCP (levonorgestrel+ethinylestradiol); G03AA07
731007,R01BA03|R06AB01,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
749856,G03AA05,USE_ATCPROD,HIGH,Triphasic norethindrone+ethinylestradiol pack; production's G03AA05 dedicated code preferred over fragmented current_final
885235,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
309678,D07AB19,OTHER,MED,Dexamethasone topical gel; D07AB19 (moderately potent topical corticosteroid) fits generic topical use; C05AA09 (hemorrhoid)/D07XB05 (other combo)/D10AA03 (acne) are alternate-context dexamethasone codes not matching a plain topical gel
199264,A07AA07,OTHER,HIGH,Amphotericin B oral suspension; GI/oral route A07AA07 correct; J02AA01 (systemic IV) wrong route for an oral suspension
205674,N01AH01|N05AD08,OTHER,MED,"Droperidol/fentanyl injectable (Innovar, neuroleptanalgesia adjunct); fentanyl's IV-anesthesia-adjunct code N01AH01 fits this specific use, not general analgesic N02AB03"
999608,D10AB02|D10AF06,KEEP_CURRENT,HIGH,Sulfacetamide/sulfur liquid soap; both real per-ingredient codes already correct
999991,C09DX03,KEEP_CURRENT,HIGH,"Tribenzor (amlodipine/HCTZ/olmesartan, different strength); C09DX03 already correct"
312222,A03AD01,OTHER,MED,"Papaverine oral tablet; A03AD01 (oral GI/vascular antispasmodic) fits oral route; G04BE02 is for intracavernosal ED injection, wrong route"
198580,N02BA03,USE_ATCPROD,LOW,Choline oral tablet; RxNorm IN is generic 'choline' with genuine ambiguity between choline salicylate and choline alfoscerate identity; production's N02BA03 (choline salicylate) kept as best-available pick
1994397,D10AB02|D10AX02,KEEP_CURRENT,HIGH,Resorcinol/sulfur topical cream; both real per-ingredient codes already correct
995036,R01BA03|R05CA02|R05DA04|R06AB04,OTHER,MED,"Demi-Cof (chlorpheniramine/codeine/phenylephrine/potassium iodide); potassium iodide used as expectorant here -> R05CA02, drop V03AB21 (thyroid-blocking antidote context, wrong use)"
800808,B05BB02,KEEP_CURRENT,HIGH,Multi-electrolyte + glucose injectable; B05BB02 already correct
806677,R01AX,OTHER,MED,"Sodium chloride Nasal Spray; R01AX ('Other nasal preparations') matches the nasal route directly, consistent with Nebusal/Hyper-Sal precedent in this dataset"
849316,N02AC04,OTHER,MED,"Aspirin/propoxyphene capsule; dextropropoxyphene N02AC04 real monotherapy code kept; no dedicated aspirin+propoxyphene combo code found; aspirin's role here is analgesic-dose within an opioid combo, but with no dedicated WHO code and no clean single fit, drop aspirin codes entirely (A01AD05/B01AC06/N02BA01 all wrong-context) and keep the opioid partner"
208131,J01AA07,OTHER,HIGH,"Tetracycline oral capsule; systemic route, J01AA07 correct; A01AB13 (dental) and S03AA02 (otic) wrong routes"
208335,D10AD01,KEEP_CURRENT,HIGH,Tretinoin topical solution (Retin-A); D10AD01 already correct; production's L01XX14 does not exist in the current WHO ATC index (verified - not a valid leaf)
208821,S01CA01,KEEP_CURRENT,HIGH,Tobradex (dexamethasone/tobramycin ophthalmic ointment); S01CA01 dedicated combo code already correct
2107315,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
2110600,R02AD01,OTHER,MED,Benzocaine/menthol mucous-membrane topical solution; oral-mucosal use -> R02AD01
210027,A02AF02,OTHER,HIGH,Gelusil (Al(OH)3/Mg(OH)2/simethicone); A02AF02 dedicated combo code
1092600,D08AC02,OTHER,MED,"Chlorhexidine topical solution; D08AC02, drop D09AA12"
1101383,S01GA02,KEEP_CURRENT,HIGH,Tetrahydrozoline ophthalmic solution (Mallazine); S01GA02 already correct
827179,A02BA02,OTHER,HIGH,"Ranitidine oral solution (plain ranitidine, not the bismuth citrate salt); A02BA02 correct, drop A02BA07 (different salt/combination drug)"
1095608,A11CC05|A11DA01|A11GA01|A11HA02|A11HA04|A11HA05|B03BA01|B03BB01,USE_ATCPROD,MED,"Renal vitamin-B-complex tablet (Nephrocaps), no iron/minerals; A11JC empty branch; production's per-ingredient vitamin set is correct; current_final's C04AC01/C10AD02 (niacin peripheral-vasodilator/lipid-lowering codes) are wrong-dose/wrong-use pollution - 20mg niacin here is a vitamin dose"
1146217,R01AX,KEEP_CURRENT,HIGH,Nebusal inhalation solution; R01AX already correct
1190761,A03CB03,OTHER,HIGH,Atropine/phenobarbital tablet; A03CB03 'atropine and psycholeptics' exact match
1148185,C05AX06,KEEP_CURRENT,HIGH,"Phenylephrine/cocoa butter/shark liver oil rectal suppository (Prep-Hem, hemorrhoid); C05AX06 already correct"
1192983,A06AA02|C05AD03,KEEP_CURRENT,HIGH,Benzocaine/docusate rectal enema (Therevac Plus); already correctly uses anorectal-context C05AD03
1193116,R01BA03|R06AE04,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
484491,B01AC06,OTHER,LOW,"Aspirin 81mg (antiplatelet dose)/carbidopa tablet - clinically implausible combination (carbidopa normally paired with levodopa); no WHO combo code plausible; keep low-dose aspirin's antiplatelet code B01AC06, drop carbidopa (no monotherapy WHO code) and A01AD05/N02BA01 (wrong dose-context)"
562675,B05XA30,OTHER,MED,"Multi-trace-element injectable (chromic chloride/copper/manganese/selenious acid/zinc sulfate, Multitrace-4 pattern); B05XA30 'combinations of electrolytes' is the dedicated WHO parenteral trace-element combo code"
860159,R01BA03|R05DA03|R06AC01,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1000120,G03DA02,OTHER,MED,"Medroxyprogesterone acetate 10mg oral tablet (Curretab, low-dose oral progestin for secondary amenorrhea); G03DA02 (pregnen derivative progestogen) fits gynecologic oral use better than L02AB02 (oncology/high-dose context) or G03AC06 (depot contraceptive context)"
1006540,P02CF01,KEEP_CURRENT,HIGH,Ivermectin chewable tablet (Heartgard); oral/systemic route correct
1010723,B05XA19,OTHER,MED,"Calcium gluconate injectable solution; parenteral context -> B05XA19 (calcium gluconate, electrolyte solutions class) fits the injectable route better than A12AA03 (oral/systemic supplement context)"
1014366,D01AC08|D07AA02,OTHER,MED,"GPCK of hydrocortisone Topical Gel + ketoconazole Topical Cream, each a separate single-ingredient topical product; hydrocortisone (monotherapy) -> D07AA02, ketoconazole -> D01AC08 (topical antifungal); drop dental/GI/systemic/vaginal cross-route codes"
1038764,D08AJ01|D08AJ08,OTHER,HIGH,"Benzalkonium+benzethonium medicated pad; both real topical codes, drop D09AA11 dressing-context"
1039078,D08AE04,OTHER,HIGH,Triclosan medicated soap/foam/pad; D08AE04 (topical antiseptic) is correct; D09AA06 (medicated-dressing context) is wrong product-form pollution
1047484,D01AE12|D11AX12,OTHER,MED,"GPCK of 3 separate single-active shampoos (coal tar/salicylic acid/zinc pyrithione) copackaged; coal tar has no WHO code; salicylic acid->D01AE12, zinc pyrithione->D11AX12 (both real per-ingredient codes for the 2 codeable components)"
1049919,R06AA02,KEEP_CURRENT,HIGH,"Diphenhydramine oral film (Benadryl); oral route, R06AA02 correct; D04AA32 (topical) wrong route"
307830,D08AA02,OTHER,LOW,"Allantoin/aminacrine/sulfanilamide vaginal insert; aminacrine correctly D08AA02; sulfanilamide's available WHO codes (D06BA05/J01EB06) are systemic-context, not a clean vaginal-topical match; genuine coding gap for sulfanilamide's vaginal use"
602424,G01AA10,KEEP_CURRENT,HIGH,Clindamycin vaginal cream (Clindamax); G01AA10 (vaginal antiinfective) already correct
606794,D07AA02,OTHER,MED,"Plain hydrocortisone Topical Gel (Nuzon), single ingredient (no combination partner); D07AA02 'Corticosteroids, weak (group I)' is the correct monotherapy topical code; D07XA01 implies a combination formulation which doesn't apply here"
1006118,D10AF06,KEEP_CURRENT,HIGH,Sulfacetamide alone medicated pad (Rosula NS); D10AF06 already correct
1012087,S01CA02,OTHER,HIGH,Prednisolone/sulfacetamide ophthalmic suspension (Cetapred); S01CA02 'prednisolone and antiinfectives' is the dedicated combo code
1000499,G03FA12,KEEP_CURRENT,HIGH,Prempro (conjugated estrogens+medroxyprogesterone); G03FA12 already correct dedicated HRT code
1006109,D10AF06,KEEP_CURRENT,HIGH,Sulfacetamide alone liquid soap (Mexar); D10AF06 already correct
262191,S01CA01,OTHER,HIGH,Dexamethasone/neomycin ophthalmic solution (Neo-Dexair); S01CA01 'dexamethasone and antiinfectives' dedicated combo code
201831,J01AA02,OTHER,HIGH,"Doxycycline oral capsule; systemic route, J01AA02 correct; A01AB22 (dental) wrong route"
2048004,M02AX10,OTHER,LOW,Histamine dihydrochloride topical spray (counterirritant); no WHO leaf directly matches; M02AX10 'various' catch-all under topical joint/muscle products is the best available fit
995226,R05FA02,KEEP_CURRENT,HIGH,Codeine/guaifenesin oral solution; R05FA02 'opium derivatives and expectorants' dedicated combo code already correct
995983,R01BA02|R05FA02,OTHER,HIGH,"Codeine/guaifenesin/pseudoephedrine oral solution; R05FA02 covers codeine+guaifenesin, add R01BA02 (pseudoephedrine, oral decongestant, kept per route rule)"
318270,S01FB01|S01GA05,KEEP_CURRENT,MED,Phenylephrine/pyrilamine ophthalmic solution; ophthalmic-context codes already correctly assigned
403854,C09DA08,KEEP_CURRENT,HIGH,HCTZ/olmesartan tablet; C09DA08 dedicated combo already correct
857434,R06AA04,KEEP_CURRENT,HIGH,"Clemastine oral tablet; oral route, R06AA04 correct"
209277,G01AE10,OTHER,HIGH,"Sulfabenzamide/sulfacetamide/sulfathiazole vaginal cream (Gyne Sulf, triple-sulfa); G01AE10 'combinations of sulfonamides' is the dedicated WHO vaginal-antiinfective combo code"
2099533,S01HA02|S01JA01,KEEP_CURRENT,HIGH,Benoxinate/fluorescein ophthalmic diagnostic solution (Fluress); already correct
801769,R02AD01,KEEP_CURRENT,HIGH,duplicate safeguard
206903,M01AE01,OTHER,HIGH,"Ibuprofen oral tablet (Motrin); standard oral NSAID use, M01AE01 correct; C01EB16/G02CC01/R02AX02 are wrong-context ibuprofen codes; production's M01AE14 is dexibuprofen, a different substance entirely"
845659,A06AA51,USE_ATCPROD,HIGH,"Magnesium hydroxide/mineral oil oral suspension (Phillips M-O); A06AA51 'liquid paraffin, combinations' is WHO's dedicated combo code for this laxative pairing"
857768,R01BA03|R05DA03|R06AB04,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
212647,A02AF02,OTHER,HIGH,Maalox Plus (Al(OH)3/Mg(OH)2/simethicone); A02AF02 dedicated combo code
1090874,D08AJ01,OTHER,HIGH,"Allantoin/benzalkonium topical solution; D08AJ01 correct, allantoin no code, drop D09AA11"
